key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
email,Translation key: email,ኢሜይል,البريد الإلكتروني,Имейл,ইমেইল,ইমেল,[BS] Email,[CA] Email,Email,E-bost,Email,E-Mail,Email,Correo electrónico,[ES_419] Email,E-post,[EU] Email,ایمیل,Sähköposti,Teldupostur,E-mail,Ríomhphost,[GL] Email,Imel,דוא״ל,ईमेल,Email,Email,Email,Tölvupóstur,[IT] Email,メール,이메일,[LT] Email,E-pasts,[MK] Email,Emel,[MT] Email,E-mail,E-post,Email,[PT] Email,Email,Email,Электронная почта,Email,E-pošta,[SQ] Email,[SR] Email,E-post,อีเมล,E-posta,Електронна пошта,ای میل,Email,邮箱,電子郵件
emailNotifications,Translation key: emailNotifications,,,,,,,,,,,,Email Notifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emailProfileemail,Translation key: emailProfileemail,,,,,,,,,,,,Email: {profile_email},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enableNotifications,Translation key: enableNotifications,ማሳወቂያዎችን አብቅት,تفعيل الإشعارات,Активирай известия,বিজ্ঞপ্তি চালু করুন,নোটিফিকেশন সক্রিয় করুন,[BS] Enable Notifications,[CA] Enable Notifications,[CS] Enable Notifications,[CY] Enable Notifications,[DA] Enable Notifications,Benachrichtigungen aktivieren,Enable Notifications,Habilitar notificaciones,[ES_419] Enable Notifications,[ET] Enable Notifications,[EU] Enable Notifications,فعال‌سازی اعلان‌ها,Ota ilmoitukset käyttöön,Virkja boð,Activer les notifications,Cumasaigh fógraí,[GL] Enable Notifications,Kunna sanarwa,הפעל התראות,सूचनाएं सक्षम करें,Omogući obavijesti,Értesítések engedélyezése,Aktifkan notifikasi,[IS] Enable Notifications,Abilita notifiche,通知を有効にする,알림 켜기,[LT] Enable Notifications,Iespējot paziņojumus,[MK] Enable Notifications,Dayakan pemberitahuan,[MT] Enable Notifications,[NL] Enable Notifications,Aktiver varsler,Włącz powiadomienia,[PT] Enable Notifications,[PT_BR] Enable Notifications,Activează notificări,Включить уведомления,[SK] Enable Notifications,Omogoči obvestila,[SQ] Enable Notifications,[SR] Enable Notifications,[SV] Enable Notifications,เปิดใช้งานการแจ้งเตือน,[TR] Enable Notifications,Увімкнути сповіщення,اطلاعات فعال کریں,Bật thông báo,启用通知,啟用通知
enableNotifications1,Translation key: enableNotifications1,,,,,,,,,,,,Enable Notifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enableVibration,Translation key: enableVibration,,,,,,,,,,,,Enable Vibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterGroupName,Translation key: enterGroupName,የቡድን ስም ያስገቡ,أدخل اسم المجموعة,Въведете име на група,পরিচয়ের জন্য গ্রুপের নাম লিখুন,গোষ্ঠী নাম লিখুন,[BS] Enter group name,[CA] Enter group name,[CS] Enter group name,Nodwch enw'r grŵp,[DA] Enter group name,Gruppenname eingeben,Enter group name,Ingresar nombre del grupo,[ES_419] Enter group name,Sisesta grupi nimi,Talde-izena sartu,نام گروه را وارد کنید برای شناسایی,Anna ryhmän nimi,Skriva bólkanavn,Entrer le nom du groupe,[GA] Enter group name,[GL] Enter group name,Shigar da sunan rukuni don gane shi,הכנס שם קבוצה,पहचान के लिए समूह का नाम दर्ज करें,Unesite naziv grupe,[HU] Enter group name,Masukkan nama grup,[IS] Enter group name,[IT] Enter group name,グループ名を入力,그룹 이름 입력,[LT] Enter group name,Ievadiet grupas nosaukumu,[MK] Enter group name,Masukkan nama kumpulan,[MT] Enter group name,[NL] Enter group name,Angi gruppenavn,Wprowadź nazwę grupy,[PT] Enter group name,[PT_BR] Enter group name,[RO] Enter group name,Введите название группы,[SK] Enter group name,[SL] Enter group name,[SQ] Enter group name,[SR] Enter group name,Ange gruppnamn,ป้อนชื่อกลุ่ม,[TR] Enter group name,Введіть назву групи,شناخت کے لیے گروپ کا نام درج کریں,Nhập tên nhóm,输入组名,輸入群組名稱以便辨識
enterOtp,Translation key: enterOtp,,,,,,,,,,,,Enter OTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error,Translation key: error,ስህተት,خطأ,Грешка,[BN] Error,ত্রুটি,[BS] Error,[CA] Error,Chyba,Gwall,Fejl,Fehler,Error,Error,[ES_419] Error,Viga,[EU] Error,خطا,Virhe,Mistøk,Erreur,Earráid,[GL] Error,Error,שגיאה,त्रुटि,Greška,Hiba,Kesalahan,Villa,[IT] Error,エラー,오류,[LT] Error,[LV] Error,[MK] Error,[MS] Error,[MT] Error,Fout,Feil,Błąd,Erro,Erro,Eroare,Ошибка,Chyba,Napaka,[SQ] Error,[SR] Error,Fel,ข้อผิดพลาด,[TR] Error,Помилка,Error,Lỗi,错误,Error
errorCheckingPermissions,Translation key: errorCheckingPermissions,የመብት ማረጋገጫ ስህተት,خطأ في التحقق من الأذونات,Грешка при проверка на разрешения,[BN] Error checking permissions,অনুমতি যাচাই করতে ত্রুটি,[BS] Error checking permissions,[CA] Error checking permissions,[CS] Error checking permissions,[CY] Error checking permissions,Fejl ved tjek af rettigheder,Fehler beim Prüfen der Berechtigungen,Error checking permissions: {error},Error al verificar permisos,[ES_419] Error checking permissions,[ET] Error checking permissions,[EU] Error checking permissions,خطا در بررسی دسترسی‌ها: {error},Virhe oikeuksien tarkistuksessa,Error checking permissions,Erreur lors de la vérification des permissions,Earráid ag seiceáil ceadanna,[GL] Error checking permissions,Kuskure wajen duba izini: {error},שגיאה בבדיקת הרשאות,अनुमतियाँ जांचने में त्रुटि: {error},Greška pri provjeri dozvola,[HU] Error checking permissions,[ID] Error checking permissions,[IS] Error checking permissions,[IT] Error checking permissions,権限の確認エラー,[KO] Error checking permissions,[LT] Error checking permissions,[LV] Error checking permissions,[MK] Error checking permissions,[MS] Error checking permissions,[MT] Error checking permissions,[NL] Error checking permissions,[NO] Error checking permissions,Błąd sprawdzania uprawnień,[PT] Error checking permissions,Erro ao verificar permissões,[RO] Error checking permissions,Ошибка проверки разрешений,[SK] Error checking permissions,Napaka pri preverjanju dovoljenj,[SQ] Error checking permissions,[SR] Error checking permissions,[SV] Error checking permissions,ข้อผิดพลาดในการตรวจสอบสิทธิ์,[TR] Error checking permissions,Помилка перевірки дозволів,اجازتیں چیک کرنے میں خرابی: {error},Lỗi kiểm tra quyền,检查权限出错,檢查權限錯誤：{error}
errorConfirmingPaymentE,Translation key: errorConfirmingPaymentE,,,,,,,,,,,,Error confirming payment: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorDeletingSlotE,Translation key: errorDeletingSlotE,,,,,,,,,,,,Error deleting slot: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorDetailsLogerrortype,Translation key: errorDetailsLogerrortype,,,,,,,,,,,,Error Details: {log_errorType},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorE,Translation key: errorE,,,,,,,,,,,,Error: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorError,Translation key: errorError,,,,,,,,,,,,Error: $error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorEstimatingRecipients,Translation key: errorEstimatingRecipients,errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),,,Error al estimar destinatarios,errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),خطا در برآورد گیرندگان: {error},errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),Erreur lors de l'estimation des destinataires,errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),Kuskure wajen hasashen masu karɓa: {error},errorEstimatingRecipients (TRANSLATE),प्राप्तकर्ताओं का अनुमान लगाने में त्रुटि: {error},errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),وصول کنندگان کا اندازہ لگانے میں خرابی: {error},errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE),errorEstimatingRecipients (TRANSLATE)
errorEstimatingRecipientsE,Translation key: errorEstimatingRecipientsE,,,,,,,,,,,,Error estimating recipients: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingAppointments,Translation key: errorLoadingAppointments,,,,,,,,,,,,Error loading appointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingAvailabilityE,Translation key: errorLoadingAvailabilityE,,,,,,,,,,,,Error loading availability: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingBookingsSnapshoterror,Translation key: errorLoadingBookingsSnapshoterror,,,,,,,,,,,,Error loading bookings: {snapshot_error},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingBranchesE,Translation key: errorLoadingBranchesE,,,,,,,,,,,,Error loading branches: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingConfigurationE,Translation key: errorLoadingConfigurationE,,,,,,,,,,,,Error loading configuration: $e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingDashboardError,Translation key: errorLoadingDashboardError,,,,,,,,,,,,Error loading dashboard: $error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingEvents,Translation key: errorLoadingEvents,,,,,,,,,,,,Error loading events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingFamilyLinks,Translation key: errorLoadingFamilyLinks,የቤተሰብ አገናኝ ማስጫን ስህተት,خطأ في تحميل روابط العائلة,Грешка при зареждане на семейни връзки,[BN] Error loading family links,পারিবারিক লিঙ্ক লোড করতে ত্রুটি,[BS] Error loading family links,[CA] Error loading family links,[CS] Error loading family links,Gwall wrth lwytho dolenni teuluol,[DA] Error loading family links,Fehler beim Laden der Familienlinks,Error loading family links: {error},Error al cargar enlaces familiares,[ES_419] Error loading family links,[ET] Error loading family links,[EU] Error loading family links,خطا در بارگذاری ارتباطات خانوادگی: {error},[FI] Error loading family links,Error loading family links,Erreur lors du chargement des liens familiaux,Earráid ag luchtú na nasc teaghlach,[GL] Error loading family links,Kuskure wajen ɗora alaƙar iyali: {error},שגיאה בטעינת קישורי משפחה,पारिवारिक लिंक लोड करने में त्रुटि: {error},Pogreška pri učitavanju obiteljskih veza,[HU] Error loading family links,[ID] Error loading family links,[IS] Error loading family links,[IT] Error loading family links,家族リンクの読み込みエラー,가족 링크 로드 오류,[LT] Error loading family links,[LV] Error loading family links,[MK] Error loading family links,[MS] Error loading family links,[MT] Error loading family links,[NL] Error loading family links,[NO] Error loading family links,[PL] Error loading family links,[PT] Error loading family links,[PT_BR] Error loading family links,[RO] Error loading family links,Ошибка загрузки семейных ссылок,[SK] Error loading family links,[SL] Error loading family links,[SQ] Error loading family links,[SR] Error loading family links,[SV] Error loading family links,ข้อผิดพลาดในการโหลดลิงก์ครอบครัว,[TR] Error loading family links,Помилка завантаження сімейних посилань,خاندانی روابط لوڈ کرنے میں خرابی: {error},Lỗi tải liên kết gia đình,加载家庭链接出错,讀取家庭連結錯誤：{error}
errorLoadingInvites,Translation key: errorLoadingInvites,የግብዣዎች ማስጫን ስህተት,خطأ في تحميل الدعوات,Грешка при зареждане на покани,আমন্ত্রণ লোড করতে ত্রুটি,আমন্ত্রণ লোড করতে ত্রুটি,[BS] Error loading invites,[CA] Error loading invites,Chyba načítání pozvánek,Gwall wrth lwytho gwahoddiadau,[DA] Error loading invites,Fehler beim Laden der Einladungen,Error loading invites,Error al cargar invitaciones,[ES_419] Error loading invites,Kutseid ei õnnestunud laadida,[EU] Error loading invites,خطا در بارگذاری دعوت‌ها,[FI] Error loading invites,Error loading invites,Erreur lors du chargement des invitations,Earráid ag luchtú cuireadh,[GL] Error loading invites,Kuskure wajen ɗora gayyata,שגיאה בטעינת הזמנות,निमंत्रण लोड करने में त्रुटि,Greška pri učitavanju pozivnica,[HU] Error loading invites,[ID] Error loading invites,Villa við að hlaða boð,[IT] Error loading invites,招待の読み込みエラー,초대 로딩 오류,[LT] Error loading invites,[LV] Error loading invites,[MK] Error loading invites,[MS] Error loading invites,[MT] Error loading invites,[NL] Error loading invites,[NO] Error loading invites,Błąd ładowania zaproszeń,[PT] Error loading invites,[PT_BR] Error loading invites,[RO] Error loading invites,Ошибка загрузки приглашений,Chyba pri načítaní pozvánok,Napaka pri nalaganju povabil,[SQ] Error loading invites,[SR] Error loading invites,[SV] Error loading invites,ข้อผิดพลาดในการโหลดคำเชิญ,[TR] Error loading invites,Помилка завантаження запрошень,دعوت نامے لوڈ کرنے میں خرابی,Lỗi tải lời mời,加载邀请出错,讀取邀請錯誤
errorLoadingOrganizations,Translation key: errorLoadingOrganizations,errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),,Error loading organizations,Error al cargar organizaciones,errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),خطا در بارگذاری سازمان‌ها,errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),Erreur lors du chargement des organisations,errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),Kuskure wajen ɗora ƙungiyoyi,errorLoadingOrganizations (TRANSLATE),संगठन लोड करने में त्रुटि,errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),تنظیمیں لوڈ کرنے میں خرابی,errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE),errorLoadingOrganizations (TRANSLATE)
errorLoadingPermissionsError,Translation key: errorLoadingPermissionsError,,,,,,,,,,,,Error loading permissions: $error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
errorLoadingPrivacyRequests,Translation key: errorLoadingPrivacyRequests,የግላዊነት ጥያቄዎች ማስጫን ስህተት,خطأ في تحميل طلبات الخصوصية,Грешка при зареждане на заявки за поверителност,[BN] Error loading privacy requests,গোপনীয়তা অনুরোধ লোড করতে ত্রুটি,[BS] Error loading privacy requests,[CA] Error loading privacy requests,Chyba načítání žádostí o soukromí,[CY] Error loading privacy requests,[DA] Error loading privacy requests,Fehler beim Laden der Datenschutzanfragen,Error loading privacy requests: {error},Error al cargar solicitudes de privacidad,[ES_419] Error loading privacy requests,[ET] Error loading privacy requests,[EU] Error loading privacy requests,خطا در بارگذاری درخواست‌های حریم خصوصی: {error},[FI] Error loading privacy requests,Error loading privacy requests,Erreur lors du chargement des demandes de confidentialité,[GA] Error loading privacy requests,[GL] Error loading privacy requests,Kuskure wajen ɗora buƙatun sirri: {error},שגיאה בטעינת בקשות פרטיות,गोपनीयता अनुरोध लोड करने में त्रुटि: {error},[HR] Error loading privacy requests,[HU] Error loading privacy requests,[ID] Error loading privacy requests,Villa við að hlaða persónuverndaróskir,[IT] Error loading privacy requests,プライバシーリクエスト読み込みエラー,[KO] Error loading privacy requests,[LT] Error loading privacy requests,[LV] Error loading privacy requests,[MK] Error loading privacy requests,[MS] Error loading privacy requests,[MT] Error loading privacy requests,Fout bij laden privacyverzoeken,[NO] Error loading privacy requests,[PL] Error loading privacy requests,[PT] Error loading privacy requests,Erro ao carregar solicitações de privacidade,[RO] Error loading privacy requests,Ошибка загрузки запросов приватности,Chyba pri načítaní žiadostí o súkromie,Napaka pri nalaganju zahtevkov za zasebnost,[SQ] Error loading privacy requests,[SR] Error loading privacy requests,[SV] Error loading privacy requests,ข้อผิดพลาดในการโหลดคำขอความเป็นส่วนตัว,[TR] Error loading privacy requests,Помилка завантаження запитів приватності,پرائیویسی درخواستیں لوڈ کرنے میں خرابی: {error},Lỗi tải yêu cầu riêng tư,加载隐私请求出错,讀取隱私請求錯誤：{error}
